Id Financeiro;Status cliente;Id cliente (CNPJ);Razão Social;Nome Fantasia (Omie);MRR Atual;Data Cohort;Data Movimento;MRR;Movimento MRR;Tipo Movimento;Status contrato;Id contrato (Omie);Documento;Vigência inicial contrato;Vigência final contrato;Meses vigência;Valor contrato;Tipo Renovação;Índice Renovação;Vendedor;Valor original do MRR;Obs. Contrato;Condição pagamento
88275AEGE01;Ativo;8827501000158;AEGEA SANEAMENTO E PARTICIPACOES S.A.;AEGEA;Não;01/01/2024;01/01/2024;R$ 20.000,00;R$ 20.000,00;New Business;Vencido;AEGE01;Contrato;01/01/2024;31/12/2025;24;R$ 480.000,00;Termo Aditivo;IPCA;Carlos;R$ 20.000,00;1Isenção do mês de Janeiro de 2024, primeiro pagamento em Fevereiro respectivamente;Mensal
88275AEGE02;Ativo;8827501000158;AEGEA SANEAMENTO E PARTICIPACOES S.A.;AEGEA;Sim;01/01/2024;01/01/2026;R$ 21.932,33;R$ 1.932,33;Expansion;Vigente;AEGE02;Contrato;01/01/2026;31/12/2027;24;R$ 526.375,92;Termo Aditivo;IPCA;Carlos;R$ 1.932,33;Faturamento inicia em fevereiro;Mensal
23399AFYA01;Ativo;23399329000253;AFYA PARTICIPAÇÕES S.A.;AFYA;Não;01/04/2024;01/04/2024;R$ 12.000,00;R$ 12.000,00;New Business;Vencido;AFYA01;Contrato;01/04/2024;31/01/2025;10;R$ 120.000,00;Aditivo;IPCA;Carlos;R$ 16.000,00;33,33% de desconto gerando um valor de desconto de R$40.000,00;À vista
23399AFYA02;Ativo;23399329000253;AFYA PARTICIPAÇÕES S.A.;AFYA;Sim;01/04/2024;01/02/2025;R$ 14.690,79;R$ 2.690,79;Expansion;Vigente;AFYA02;Aditivo;01/02/2025;31/01/2026;12;R$ 176.289,44;Aditivo;IPCA;Carlos;R$ 16.786,06;12,48%;À vista
23314ALES01;Ativo;23314594000100;ALESAT COMBUSTIVEIS S.A.;ALE COMBUSTÍVEIS;Não;01/09/2020;01/09/2020;R$ 800,00;R$ 800,00;New Business;Vencido;ALES01;Contrato;01/09/2020;31/08/2021;12;R$ 9.600,00;Automática;IGPM;Carlos;R$ 800,00;;Mensal
23314ALES02;Ativo;23314594000100;ALESAT COMBUSTIVEIS S.A.;ALE COMBUSTÍVEIS;Não;01/09/2020;01/09/2021;R$ 880,00;R$ 80,00;Expansion;Vencido;ALES02;nd;01/09/2021;31/08/2022;12;R$ 10.560,00;Automática;IGPM;Carlos;R$ 880,00;;Mensal
23314ALES03;Ativo;23314594000100;ALESAT COMBUSTIVEIS S.A.;ALE COMBUSTÍVEIS;Não;01/09/2020;01/09/2022;R$ 952,59;R$ 73,00;Expansion;Vencido;ALES03;nd;01/09/2022;31/08/2023;12;R$ 11.431,08;Automática;IGPM;Carlos;R$ 952,59;;Mensal
23314ALES04;Ativo;23314594000100;ALESAT COMBUSTIVEIS S.A.;ALE COMBUSTÍVEIS;Não;01/09/2020;01/09/2023;R$ 952,59;R$ 0,00;Expansion;Vencido;ALES04;nd;01/09/2023;31/08/2024;12;R$ 11.431,08;Automática;IGPM;Carlos;;;Mensal
23314ALES05;Ativo;23314594000100;ALESAT COMBUSTIVEIS S.A.;ALE COMBUSTÍVEIS;Não;01/09/2020;01/09/2024;R$ 992,53;R$ 39,94;Expansion;Vencido;ALES05;nd;01/09/2024;31/08/2025;12;R$ 11.910,36;Automática;IGPM;Carlos;R$ 992,53;;Mensal
23314ALES06;Ativo;23314594000100;ALESAT COMBUSTIVEIS S.A.;ALE COMBUSTÍVEIS;Sim;01/09/2020;01/09/2025;R$ 1.022,81;R$ 30,28;Expansion;Vigente;ALES06;Aditivo;01/09/2025;31/08/2026;12;R$ 12.273,72;Automática;IGPM;Carlos;R$ 1.022,81;Pagamento começa em outubro ;Mensal
61079ALPA01;Ativo;61079117000105;ALPARGATAS S.A.;ALPARGATAS;Não;01/01/2023;01/01/2023;R$ 30.000,00;R$ 30.000,00;New Business;Vencido;ALPA01;Contrato;01/01/2023;31/12/2023;12;R$ 360.000,00;Aditivo;Não definido;Carlos;;;À vista
61079ALPA02;Ativo;61079117000105;ALPARGATAS S.A.;ALPARGATAS;Não;01/01/2023;01/01/2024;R$ 26.354,93;-R$ 3.645,07;Contraction;Vencido;ALPA02;Aditivo;01/01/2024;31/12/2024;12;;Aditivo;IPCA;Carlos;R$ 31.625,92;;À vista
61079ALPA03/01;Ativo;61079117000105;ALPARGATAS S.A.;ALPARGATAS;Não;01/01/2023;01/01/2025;R$ 32.546,92;R$ 6.191,99;Expansion;Vencido;ALPA03/01;Aditivo;01/01/2025;31/12/2025;12;;Aditivo;nd;Carlos;R$ 33.046,92;;À vista
61079ALPA03/02;Ativo;61079117000105;ALPARGATAS S.A.;ALPARGATAS;Não;01/01/2023;01/01/2025;R$ 32.546,92;R$ 6.191,99;Expansion;Vencido;ALPA03/02;Aditivo;01/01/2025;31/12/2025;12;;Aditivo;nd;Carlos;R$ 33.046,92;;À vista
61079ALPA04;Ativo;61079117000105;ALPARGATAS S.A.;ALPARGATAS;Sim;01/01/2023;01/01/2026;R$ 16.666,67;-R$ 15.880,25;Contraction;Vigente;ALPA04;Aditivo;01/01/2026;31/12/2026;12;R$ 200.000,00;Aditivo;nd;Carlos;;;À vista
55553ALUR01;Ativo;5555382000133;AOVS SISTEMAS DE INFORMATICA SA;ALURA;Sim;01/01/2025;01/01/2025;R$ 1.500,00;R$ 1.500,00;New Business;Vigente;ALUR01;Contrato;01/01/2025;02/04/2026;15;R$ 22.500,00;Termo Aditivo;IPCA;Carlos;;;À vista
92882ANIM00;Inativo;9288252000213;ANIMA HOLDING S.A.;ANIMA HOLDING;Não;24/03/2021;-;-;-;Implantação;Vencido;ANIM00;Contrato;24/03/2021;24/03/2021;0;R$ 7.500,00;-;-;Carlos;-;;Única
92882ANIM01;Inativo;9288252000213;ANIMA HOLDING S.A.;ANIMA HOLDING;Não;24/03/2021;24/03/2021;R$ 14.645,61;R$ 14.645,61;New Business;Vencido;ANIM01;Contrato;24/03/2021;23/03/2022;12;;Termo Aditivo;IPCA;Carlos;;;Mensal
